,user,day_0,rep_0,day_1,rep_1,condition,0,1,2,3,m
80,11,3,13,2,1,between,-1.0,-0.6,-0.4,-1.0,-0.75
81,4,1,3,2,3,between,0.3999999999999999,0.3999999999999999,0.19999999999999996,-0.8,0.04999999999999993
82,3,2,15,3,10,between,0.0,0.19999999999999996,-0.19999999999999996,0.19999999999999996,0.04999999999999999
83,5,2,4,1,14,between,-1.0,-0.4,-0.6,-1.0,-0.75
84,2,3,10,1,14,between,0.3999999999999999,0.3999999999999999,0.0,-0.6,0.04999999999999996
85,11,2,14,1,11,between,0.6000000000000001,-0.6,0.0,0.3999999999999999,0.1
86,6,1,12,2,2,between,-0.6,0.0,0.19999999999999996,0.0,-0.1
87,1,3,11,2,14,between,-1.0,-0.6,-1.0,-1.0,-0.9
88,1,2,11,1,12,between,-1.0,0.19999999999999996,0.0,-0.19999999999999996,-0.25
89,5,1,4,3,8,between,0.6000000000000001,0.0,0.6000000000000001,0.3999999999999999,0.4
